Model,Accuracy,Precision,Recall,F1,AUC
SVM,0.9647239263803681,0.9656755599754626,0.9647239263803681,0.9642044911438942,0.9933560853563381
RF,0.946319018404908,0.9476619349172242,0.946319018404908,0.9445654254724037,0.994924857803189
ET,0.9478527607361963,0.9495982846104758,0.9478527607361963,0.9462771158089798,0.9964889701676538
Weighted,0.9616564417177914,0.9627698134855317,0.9616564417177914,0.9609293738255975,0.0
Stacked,0.9677914110429447,0.9681005697196249,0.9677914110429447,0.9673910197737318,0.9962761857009453
